Run_ID,Community
Gide_Cell_2019-PD03-ar-949,0
Gide_Cell_2019-PD06-ar-973,0
Gide_Cell_2019-PD07-ar-974,0
Gide_Cell_2019-PD08-ar-565,1
Gide_Cell_2019-PD23-ar-943,0
Gide_Cell_2019-PD25-ar-945,0
Gide_Cell_2019-PD36-ar-953,0
Gide_Cell_2019-PD49-ar-967,0
Gide_Cell_2019-PD50-ar-969,0
Liu_NatMed_2019-p009-ar-00574,1
Liu_NatMed_2019-p017-ar-99992,0
Liu_NatMed_2019-p018-ar-00020,1
Liu_NatMed_2019-p020-ar-00560,0
Liu_NatMed_2019-p022-ar-00577,1
Liu_NatMed_2019-p023-ar-00568,0
Liu_NatMed_2019-p024-ar-99999,0
Liu_NatMed_2019-p035-ar-99977,0
Liu_NatMed_2019-p036-ar-00003,1
Liu_NatMed_2019-p037-ar-00557,0
Liu_NatMed_2019-p038-ar-00590,1
Liu_NatMed_2019-p040-ar-00595,1
Liu_NatMed_2019-p042-ar-99979,1
Liu_NatMed_2019-p044-ar-00579,0
Liu_NatMed_2019-p045-ar-00548,0
Liu_NatMed_2019-p047-ar-00006,1
Liu_NatMed_2019-p051-ar-00576,0
Liu_NatMed_2019-p056-ar-00019,0
Liu_NatMed_2019-p058-ar-99997,0
Liu_NatMed_2019-p061-ar-00593,0
Liu_NatMed_2019-p062-ar-99983,0
Liu_NatMed_2019-p063-ar-99998,1
Liu_NatMed_2019-p067-ar-00563,1
Liu_NatMed_2019-p072-ar-99991,0
Liu_NatMed_2019-p073-ar-99994,1
Liu_NatMed_2019-p075-ar-00562,0
Liu_NatMed_2019-p083-ar-99984,1
Liu_NatMed_2019-p096-ar-00550,1
Liu_NatMed_2019-p098-ar-00584,0
Liu_NatMed_2019-p099-ar-00566,0
Liu_NatMed_2019-p100-ar-42349,0
Liu_NatMed_2019-p112-ar-41921,0
Liu_NatMed_2019-p116-ar-42360,0
Liu_NatMed_2019-p125-ar-42377,0
Liu_NatMed_2019-p126-ar-42369,0
Liu_NatMed_2019-p127-ar-42378,0
Liu_NatMed_2019-p130-ar-42380,0
Liu_NatMed_2019-p141-ar-42375,1
Liu_NatMed_2019-p147-ar-00553,1
Liu_NatMed_2019-p162-ar-00555,0
Liu_NatMed_2019-p163-ar-99974,0
Liu_NatMed_2019-p166-ar-00581,1
Liu_NatMed_2019-p167-ar-00582,0
Liu_NatMed_2019-p168-ar-00000,1
Liu_NatMed_2019-p181-ar-99981,0
Liu_NatMed_2019-p184-ar-00547,0
Liu_NatMed_2019-p185-ar-00554,0
Liu_NatMed_2019-p191-ar-00008,0
Liu_NatMed_2019-p195-ar-00556,0
Liu_NatMed_2019-p196-ar-00016,1
Liu_NatMed_2019-p197-ar-00551,1
