Run_ID,Community
Gide_Cell_2019-PD02-ar-941,0
Gide_Cell_2019-PD04-ar-564,1
Gide_Cell_2019-PD05-ar-968,1
Gide_Cell_2019-PD09-ar-977,1
Gide_Cell_2019-PD10-ar-929,1
Gide_Cell_2019-PD11-ar-930,1
Gide_Cell_2019-PD12-ar-931,1
Gide_Cell_2019-PD13-ar-933,1
Gide_Cell_2019-PD14-ar-934,1
Gide_Cell_2019-PD15-ar-935,1
Gide_Cell_2019-PD16-ar-936,1
Gide_Cell_2019-PD17-ar-938,1
Gide_Cell_2019-PD18-ar-939,1
Gide_Cell_2019-PD19-ar-940,1
Gide_Cell_2019-PD21-ar-942,1
Gide_Cell_2019-PD27-ar-946,1
Gide_Cell_2019-PD29-ar-948,1
Gide_Cell_2019-PD30-ar-563,1
Gide_Cell_2019-PD34-ar-951,1
Gide_Cell_2019-PD35-ar-952,1
Gide_Cell_2019-PD38-ar-954,1
Gide_Cell_2019-PD40-ar-956,1
Gide_Cell_2019-PD41-ar-958,1
Gide_Cell_2019-PD42-ar-959,1
Gide_Cell_2019-PD44-ar-960,1
Gide_Cell_2019-PD45-ar-961,1
Gide_Cell_2019-PD46-ar-962,1
Gide_Cell_2019-PD47-ar-964,1
Gide_Cell_2019-PD48-ar-966,1
Gide_Cell_2019-PD52-ar-970,2
Gide_Cell_2019-PD53-ar-971,1
Gide_Cell_2019-PD54-ar-972,1
Kim_NatMed_2018-p602-ar-987,1
Kim_NatMed_2018-p603-ar-988,1
Kim_NatMed_2018-p604-ar-989,1
Kim_NatMed_2018-p605-ar-990,1
Kim_NatMed_2018-p618-ar-991,1
Kim_NatMed_2018-p619-ar-992,1
Kim_NatMed_2018-p620-ar-993,1
Kim_NatMed_2018-p621-ar-994,1
Kim_NatMed_2018-p622-ar-995,1
Kim_NatMed_2018-p623-ar-000,1
Kim_NatMed_2018-p624-ar-996,1
Kim_NatMed_2018-p625-ar-997,1
Kim_NatMed_2018-p629-ar-998,1
Kim_NatMed_2018-p630-ar-999,1
Kim_NatMed_2018-p631-ar-033,1
Kim_NatMed_2018-p632-ar-001,1
Kim_NatMed_2018-p634-ar-002,1
Kim_NatMed_2018-p635-ar-003,1
Kim_NatMed_2018-p637-ar-004,1
Kim_NatMed_2018-p638-ar-005,1
Kim_NatMed_2018-p639-ar-006,1
Kim_NatMed_2018-p640-ar-007,1
Kim_NatMed_2018-p641-ar-008,1
Kim_NatMed_2018-p642-ar-009,1
Kim_NatMed_2018-p643-ar-010,1
Kim_NatMed_2018-p644-ar-011,1
Kim_NatMed_2018-p645-ar-012,1
Kim_NatMed_2018-p647-ar-013,1
Kim_NatMed_2018-p648-ar-014,1
Kim_NatMed_2018-p649-ar-015,1
Kim_NatMed_2018-p651-ar-016,1
Kim_NatMed_2018-p652-ar-019,1
Kim_NatMed_2018-p654-ar-023,1
Kim_NatMed_2018-p655-ar-018,1
Kim_NatMed_2018-p656-ar-020,1
Kim_NatMed_2018-p657-ar-021,1
Kim_NatMed_2018-p659-ar-025,1
Kim_NatMed_2018-p660-ar-024,1
Kim_NatMed_2018-p662-ar-027,0
Kim_NatMed_2018-p663-ar-028,1
Kim_NatMed_2018-p664-ar-026,1
Kim_NatMed_2018-p666-ar-029,1
Kim_NatMed_2018-p667-ar-030,1
Kim_NatMed_2018-p668-ar-031,1
Kim_NatMed_2018-p669-ar-032,1
Liu_NatMed_2019-p001-ar-00001,1
Liu_NatMed_2019-p004-ar-00012,1
Liu_NatMed_2019-p006-ar-00567,1
Liu_NatMed_2019-p007-ar-00597,1
Liu_NatMed_2019-p008-ar-00594,1
Liu_NatMed_2019-p010-ar-42352,1
Liu_NatMed_2019-p011-ar-42363,1
Liu_NatMed_2019-p013-ar-42373,1
Liu_NatMed_2019-p014-ar-00564,1
Liu_NatMed_2019-p015-ar-99978,1
Liu_NatMed_2019-p021-ar-00021,1
Liu_NatMed_2019-p025-ar-00546,1
Liu_NatMed_2019-p027-ar-99995,1
Liu_NatMed_2019-p030-ar-00583,1
Liu_NatMed_2019-p031-ar-00552,1
Liu_NatMed_2019-p032-ar-99993,1
Liu_NatMed_2019-p033-ar-99975,1
Liu_NatMed_2019-p034-ar-99996,1
Liu_NatMed_2019-p048-ar-00578,1
Liu_NatMed_2019-p077-ar-99985,1
Liu_NatMed_2019-p078-ar-00575,1
Liu_NatMed_2019-p079-ar-00573,1
Liu_NatMed_2019-p082-ar-99980,1
Liu_NatMed_2019-p086-ar-00571,1
Liu_NatMed_2019-p087-ar-00596,1
Liu_NatMed_2019-p094-ar-00586,1
Liu_NatMed_2019-p102-ar-42356,1
Liu_NatMed_2019-p105-ar-42347,1
Liu_NatMed_2019-p106-ar-41996,1
Liu_NatMed_2019-p107-ar-42358,1
Liu_NatMed_2019-p108-ar-42068,1
Liu_NatMed_2019-p117-ar-42367,0
Liu_NatMed_2019-p121-ar-42364,1
Liu_NatMed_2019-p131-ar-42368,1
Liu_NatMed_2019-p132-ar-42376,1
Liu_NatMed_2019-p133-ar-42379,1
Liu_NatMed_2019-p134-ar-42365,1
Liu_NatMed_2019-p135-ar-42371,1
Liu_NatMed_2019-p137-ar-42366,1
Liu_NatMed_2019-p140-ar-42381,1
Liu_NatMed_2019-p142-ar-99955,1
Liu_NatMed_2019-p143-ar-00559,0
Liu_NatMed_2019-p144-ar-00018,1
Liu_NatMed_2019-p145-ar-99986,1
Liu_NatMed_2019-p146-ar-00580,1
Liu_NatMed_2019-p148-ar-00014,1
Liu_NatMed_2019-p149-ar-99973,1
Liu_NatMed_2019-p150-ar-00558,1
Liu_NatMed_2019-p154-ar-00010,1
Liu_NatMed_2019-p155-ar-99989,1
Liu_NatMed_2019-p156-ar-99967,1
Liu_NatMed_2019-p158-ar-00561,1
Liu_NatMed_2019-p159-ar-00565,1
Liu_NatMed_2019-p165-ar-00569,1
Liu_NatMed_2019-p169-ar-00572,1
Liu_NatMed_2019-p170-ar-00549,1
Liu_NatMed_2019-p172-ar-99987,3
Liu_NatMed_2019-p173-ar-00015,1
Liu_NatMed_2019-p179-ar-00570,1
Liu_NatMed_2019-p183-ar-00011,1
Liu_NatMed_2019-p187-ar-99988,1
Liu_NatMed_2019-p188-ar-99976,1
Liu_NatMed_2019-p189-ar-99982,0
Liu_NatMed_2019-p192-ar-00591,1
Liu_NatMed_2019-p193-ar-00002,1
Liu_NatMed_2019-p200-ar-00009,1
Liu_NatMed_2019-p201-ar-00592,1
Liu_NatMed_2019-p203-ar-99990,1
Liu_NatMed_2019-p204-ar-00589,1
Liu_NatMed_2019-p205-ar-00013,1
Liu_NatMed_2019-p206-ar-00585,1
